LOCATION,DUTY_STATE_COUNTRY,ARMY_AD,NAVY_AD,MARINE_CORPS_AD,AIR_FORCE_AD,SPACE_FORCE_AD,COAST_GUARD_AD,ARMY_NATIONAL_GUARD,ARMY_RESERVE,NAVY_RESERVE,MARINE_CORPS_RESERVE,AIR_NATIONAL_GUARD,AIR_FORCE_RESERVE,COAST_GUARD_RESERVE,ARMY_DOD_CIVILIAN,NAVY_DOD_CIVILIAN,MARINE_CORPS_DOD_CIVILIAN,AIR_FORCE_DOD_CIVILIAN,FOURTH_ESTATE_DOD_CIVILIAN
UNITED STATES,ALABAMA,"4,584",54,174,"3,138",64,942,"10,299","3,733",279,680,"2,402","1,207",116,"15,788",184,7,"2,094","4,057"
UNITED STATES,ALASKA,"10,165",35,11,"8,448",11,"1,905","1,518",264,87,53,"2,064",359,37,"1,830",7,0,"2,233",619
UNITED STATES,ARIZONA,"3,366",442,"3,405","9,070",13,11,"5,203","3,058","1,012",528,"2,506","1,983",0,"3,273",157,424,"2,774","1,340"
UNITED STATES,ARKANSAS,130,7,83,"3,595",1,19,"6,804","1,477",129,157,"2,013",456,0,"2,101",15,0,995,165
UNITED STATES,ARMED FORCES EUROPE,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0
UNITED STATES,ARMED FORCES PACIFIC,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0
UNITED STATES,CALIFORNIA,"7,637","76,819","55,123","16,139","1,491","4,899","13,186","15,548","8,286","4,743","4,641","6,807",777,"7,942","29,010","3,865","9,059","8,164"
UNITED STATES,COLORADO,"23,539",902,291,"6,168","4,563",47,"3,733","3,374","1,084",436,"1,721","2,733",22,"2,253",155,8,"5,667","2,641"
UNITED STATES,CONNECTICUT,110,"5,888",29,35,0,683,"3,707",975,402,182,"1,121",2,105,569,"1,097",0,215,562
UNITED STATES,DELAWARE,53,15,14,"3,324",0,37,"1,461",514,169,111,"1,074","1,501",6,259,21,2,966,158
UNITED STATES,DISTRICT OF COLUMBIA,"1,853","2,566","2,258","2,320",207,"2,209","1,161",240,53,513,"1,089",249,248,819,"9,530",26,769,871
UNITED STATES,FLORIDA,"5,162","31,313","3,845","22,312",425,"4,872","10,491","10,292","6,710","1,417","2,113","6,701",986,"4,140","11,334",302,"11,651","3,568"
UNITED STATES,GEORGIA,"48,847","6,044","1,275","8,444",9,523,"11,554","7,487","1,479",744,"2,756","3,372",67,"7,844","2,601","1,383","14,065","6,112"
UNITED STATES,GUAM,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNITED STATES,HAWAII,"19,805","12,731","6,741","5,199",188,"1,527","3,028","2,373",715,221,"2,346",837,124,"2,824","11,447",567,"1,366","3,164"
UNITED STATES,IDAHO,81,40,22,"3,322",1,6,"2,607",507,186,127,"1,268",25,0,735,86,0,705,69
UNITED STATES,ILLINOIS,976,"17,700",355,"4,203",3,101,"9,888","5,313","2,047",821,"2,755","1,633",59,"6,575",975,32,"2,566","1,320"
UNITED STATES,INDIANA,655,105,168,113,12,33,"9,489","2,319",391,493,"1,979","1,406",8,"1,978","3,830",218,861,"3,716"
UNITED STATES,IOWA,95,21,19,32,0,34,"6,994","1,601",147,149,"1,917",0,0,"1,128",13,0,354,66
UNITED STATES,KANSAS,"16,593",41,74,"2,937",8,79,"4,438","1,816",117,150,"2,120",814,13,"4,048",7,0,942,"1,042"
UNITED STATES,KENTUCKY,"28,880",9,96,214,0,153,"6,504","3,653",249,84,"1,127",4,31,"6,659",24,2,237,"1,652"
UNITED STATES,LOUISIANA,"6,335",380,787,"5,155",1,"1,182","9,548","1,751",883,"1,088","1,443","1,348",118,"2,916",545,224,"1,553",631
UNITED STATES,MAINE,70,104,14,11,0,487,"1,591",284,91,72,"1,102",0,74,295,"7,297",0,269,799
UNITED STATES,MARYLAND,"8,135","9,806","2,346","8,525",360,996,"4,348","5,919","3,986",485,"1,818","1,695",172,"13,840","16,263",371,"2,441","10,441"
UNITED STATES,MASSACHUSETTS,377,380,284,"1,102",86,"1,421","5,845","2,805",265,701,"2,115","2,056",369,"2,013",156,3,"3,158",633
UNITED STATES,MICHIGAN,433,226,170,101,1,"1,130","7,568","2,230",770,679,"2,400",1,111,"6,793",45,6,655,"1,411"
UNITED STATES,MINNESOTA,159,161,136,54,0,141,"10,419","2,393",548,285,"2,323","1,369",18,"1,590",29,2,718,134
UNITED STATES,MISSISSIPPI,413,"4,654",320,"5,528",94,269,"7,919","1,194",480,82,"2,544","1,643",161,"3,997","2,446",1,"2,115",477
UNITED STATES,MISSOURI,"8,305",357,"1,429","4,182",1,215,"8,539","3,591","1,009",480,"2,108",929,60,"4,440",49,132,"1,084","1,195"
UNITED STATES,MONTANA,55,5,9,"3,351",19,0,"2,319",426,117,59,"1,010",23,0,522,11,0,716,69
UNITED STATES,NEBRASKA,185,340,55,"5,784",11,5,"3,132",865,267,107,"1,115",275,0,"1,323",27,4,"2,303",200
UNITED STATES,NEVADA,160,"1,067",21,"10,545",40,8,"2,967","1,316",663,185,"1,163","1,151",0,521,283,1,"1,634",389
UNITED STATES,NEW HAMPSHIRE,57,936,25,193,4,43,"1,558",742,299,124,"1,099",1,10,494,18,4,329,168
UNITED STATES,NEW JERSEY,678,382,416,"4,688",1,"1,874","6,410","3,794","1,246","1,024","2,400","1,754",219,"5,046","2,357",3,"1,798",595
UNITED STATES,NEW MEXICO,330,52,143,"12,939",188,3,"2,265",569,182,115,861,199,0,"2,078",131,0,"3,251",481
UNITED STATES,NEW YORK,"15,118","1,215",486,462,6,"1,049","11,771","6,740","1,624","1,570","5,817","1,119",348,"5,976",126,20,"1,832","2,434"
UNITED STATES,NORTH CAROLINA,"42,583","4,385","40,544","6,302",3,"1,592","8,852","6,398","1,261","1,068","1,439","1,541",227,"7,394","3,927","2,700","1,293","5,895"
UNITED STATES,NORTH DAKOTA,31,6,7,"7,325",38,0,"2,896",141,70,64,"1,232",41,0,482,3,0,990,105
UNITED STATES,NORTHERN MARIANA,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
UNITED STATES,OHIO,495,328,278,"5,161",315,370,"9,606","4,920","1,128",817,"4,958","3,262",210,"1,668",141,15,"14,793","8,708"
UNITED STATES,OKLAHOMA,"11,994","1,653",496,"5,926",7,22,"6,793","1,700",455,188,"2,175","1,793",0,"4,493",168,14,"17,038","2,474"
UNITED STATES,OREGON,148,169,132,115,0,979,"4,619",476,481,338,"2,060",130,105,"2,029",26,3,450,33
UNITED STATES,PENNSYLVANIA,975,669,269,245,8,326,"13,040","5,695",611,871,"3,840","1,300",113,"7,259","7,437",5,935,"8,039"
UNITED STATES,PUERTO RICO,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNITED STATES,RHODE ISLAND,105,"2,873",202,64,5,519,"2,106",517,547,68,"1,043",2,49,254,"4,127",2,199,211
UNITED STATES,SOUTH CAROLINA,"9,253","8,260","6,184","8,668",5,"1,244","9,375","3,877",582,393,"1,342","2,101",190,"2,797","3,105",681,"1,919","1,545"
UNITED STATES,SOUTH DAKOTA,47,3,2,"3,410",0,2,"3,030",240,77,0,"1,099",20,0,554,2,0,682,80
UNITED STATES,TENNESSEE,444,"1,645",171,180,0,150,"9,415","3,261","1,508",696,"3,295",9,28,"2,731","1,268",6,"1,038","1,355"
UNITED STATES,TEXAS,"68,095","7,312","2,499","35,021",351,"1,807","19,161","18,188","5,913","3,401","3,104","5,587",332,"15,377","1,394",44,"15,331","12,099"
UNITED STATES,UTAH,164,31,127,"4,115",1,5,"6,128","2,393",370,109,"1,469","1,347",0,"1,972",65,1,"11,895","1,262"
UNITED STATES,VERMONT,34,5,5,51,2,36,"1,672",96,41,0,"1,016",0,12,256,6,1,225,28
UNITED STATES,VIRGIN ISLANDS,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNITED STATES,VIRGINIA,"19,771","75,413","10,305","12,531","1,071","4,195","7,069","7,377","5,614","1,430","1,437","2,017",407,"14,513","40,449","4,810","6,262","27,098"
UNITED STATES,WASHINGTON,"24,946","23,755",731,"6,581",1,"1,734","5,588","4,664","2,253",494,"1,978","1,586",230,"5,429","19,779",5,"1,325","3,994"
UNITED STATES,WEST VIRGINIA,63,4,10,24,0,76,"3,817","1,073",55,76,"2,033",0,1,"1,389",14,1,357,56
UNITED STATES,WISCONSIN,450,30,109,118,0,311,"6,427","3,201",298,420,"2,287",1,80,"1,808",123,3,441,101
UNITED STATES,WYOMING,24,1,0,"3,173",1,0,"1,523",70,84,0,"1,201",59,0,275,3,0,734,67
UNITED STATES,US_ZZ-UNKNOWN,2,1,0,0,0,0,0,230,0,0,0,0,0,0,0,0,0,0
OVERSEAS,ALBANIA,1,1,9,2,0,0,0,0,0,0,0,0,0,0,0,0,1,2
OVERSEAS,ALGERIA,2,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OVERSEAS,AMERICAN SAMOA,0,1,0,0,0,3,0,12,0,0,0,0,0,18,0,0,0,0
OVERSEAS,ANGOLA,3,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OVERSEAS,ARGENTINA,5,4,10,9,0,0,0,0,0,0,1,0,0,1,0,0,0,0
OVERSEAS,ARMENIA,3,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OVERSEAS,AUSTRALIA,42,96,23,145,4,3,0,0,0,0,0,0,0,8,20,0,7,14
OVERSEAS,AUSTRIA,4,2,19,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OVERSEAS,AZERBAIJAN,2,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OVERSEAS,"BAHAMAS, THE",1,48,6,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
OVERSEAS,BAHRAIN,22,"2,674",213,21,0,398,0,0,13,0,0,0,3,9,306,1,1,152
OVERSEAS,BANGLADESH,3,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
OVERSEAS,BARBADOS,1,0,7,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OVERSEAS,BELGIUM,606,92,30,387,3,0,0,7,1,0,0,4,0,341,1,0,9,351
OVERSEAS,BELIZE,1,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OVERSEAS,BENIN,1,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
OVERSEAS,BOLIVIA,2,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OVERSEAS,BOSNIA AND HERZEGOVINA,8,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OVERSEAS,BOTSWANA,6,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OVERSEAS,BRAZIL,14,10,24,10,1,1,0,0,0,0,1,0,0,6,2,0,2,1
OVERSEAS,BRITISH ATLANTIC OCEAN TERRITORY,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OVERSEAS,BRITISH INDIAN OCEAN TERRITORY,0,246,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
OVERSEAS,BRUNEI,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OVERSEAS,BULGARIA,5,5,8,7,0,0,0,1,0,0,1,0,0,17,0,0,2,0
OVERSEAS,BURKINA FASO,1,0,12,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0
OVERSEAS,BURMA,4,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OVERSEAS,BURUNDI,2,0,7,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
OVERSEAS,CABO VERDE,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
OVERSEAS,CAMBODIA,4,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OVERSEAS,CAMEROON,3,2,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OVERSEAS,CANADA,27,36,13,69,4,5,0,1,0,0,0,0,0,1,6,0,1,25
OVERSEAS,CENTRAL AFRICAN REPUBLIC,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OVERSEAS,CHAD,6,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OVERSEAS,CHILE,9,6,11,9,1,0,0,0,0,0,1,0,0,0,1,0,2,1
OVERSEAS,CHINA,7,8,39,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0
OVERSEAS,COLOMBIA,27,0,16,16,0,3,0,0,0,0,0,1,0,11,2,0,1,2
OVERSEAS,CONGO (BRAZZAVILLE),1,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OVERSEAS,CONGO (KINSHASA),1,0,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
OVERSEAS,COSTA RICA,0,1,7,1,0,3,0,0,0,0,1,0,0,1,0,0,0,0
OVERSEAS,COTE DIVOIRE,6,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OVERSEAS,CROATIA,3,1,7,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0
OVERSEAS,CUBA,118,413,22,0,0,6,0,0,0,0,0,0,0,17,90,0,0,105
OVERSEAS,CYPRUS,2,1,8,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
OVERSEAS,CZECHIA,4,0,7,3,0,0,0,1,0,0,0,0,0,0,1,0,0,0
OVERSEAS,DENMARK,2,4,8,3,0,1,0,0,0,0,0,0,0,0,0,0,1,2
OVERSEAS,DJIBOUTI,5,2,8,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0
OVERSEAS,DOMINICAN REPUBLIC,5,1,8,1,0,2,0,1,0,0,0,0,0,3,0,0,0,0
OVERSEAS,ECUADOR,4,3,11,3,0,1,0,0,0,0,1,0,0,3,0,0,0,0
OVERSEAS,EGYPT,138,8,20,20,0,0,0,1,0,0,0,0,0,2,1,0,4,0
OVERSEAS,EL SALVADOR,10,35,10,2,0,0,0,1,0,0,0,0,0,1,0,0,0,1
OVERSEAS,ESTONIA,8,2,8,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0
OVERSEAS,ETHIOPIA,6,2,8,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
OVERSEAS,FIJI,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
OVERSEAS,FINLAND,4,3,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OVERSEAS,FRANCE,27,17,17,20,1,0,0,2,0,0,0,0,0,1,3,0,6,0
OVERSEAS,GABON,1,1,7,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0
OVERSEAS,"GAMBIA, THE",0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OVERSEAS,GEORGIA,16,0,6,2,0,0,0,2,0,0,0,0,0,5,0,0,1,2
OVERSEAS,GERMANY,"22,727",435,424,"12,628",212,10,0,"1,104",19,0,9,354,0,"4,886",31,33,"1,175","5,291"
OVERSEAS,GHANA,4,3,10,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
OVERSEAS,GIBRALTAR,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OVERSEAS,GREECE,12,385,7,27,1,0,0,0,0,0,0,0,0,7,69,0,0,2
OVERSEAS,GREENLAND,0,0,0,110,23,0,0,0,0,0,0,2,0,1,0,0,1,0
OVERSEAS,GUAM,0,"4,096",215,"2,402",1,372,67,25,209,0,429,230,36,180,"1,526",9,505,818
OVERSEAS,GUATEMALA,10,1,8,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0
OVERSEAS,GUINEA,2,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OVERSEAS,GUYANA,1,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OVERSEAS,HAITI,4,0,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OVERSEAS,HONDURAS,196,2,7,123,0,1,0,1,0,0,0,0,0,17,1,0,0,1
OVERSEAS,HONG KONG,2,3,7,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0
OVERSEAS,HUNGARY,8,4,7,58,0,0,0,0,0,0,0,0,0,3,0,0,1,1
OVERSEAS,ICELAND,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
OVERSEAS,INDIA,9,9,37,5,0,0,0,1,0,0,0,0,0,0,0,0,1,1
OVERSEAS,INDONESIA,12,6,9,3,0,0,0,1,0,0,1,0,0,1,2,0,0,1
OVERSEAS,IRELAND,2,0,7,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
OVERSEAS,ISRAEL,67,6,25,12,0,0,0,0,0,0,0,0,0,3,1,0,3,7
OVERSEAS,ITALY,"4,140","3,585",62,"4,846",28,1,0,61,21,0,1,15,0,629,858,1,150,967
OVERSEAS,JAMAICA,2,1,7,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0
OVERSEAS,JAPAN,"2,490","21,236","17,972","12,446",121,23,0,138,231,0,2,105,0,667,"1,514",678,756,"3,305"
OVERSEAS,JORDAN,67,2,12,11,0,0,0,1,0,0,0,0,0,11,0,0,2,1
OVERSEAS,KAZAKHSTAN,9,1,14,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OVERSEAS,KENYA,16,4,15,5,0,0,0,0,0,0,0,0,0,1,0,0,1,1
OVERSEAS,KIRIBATI,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0
OVERSEAS,"KOREA, SOUTH","15,216",366,177,"7,656",79,1,0,242,2,0,0,56,0,"1,347",43,11,191,"1,335"
OVERSEAS,KOSOVO,1,0,8,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0
OVERSEAS,KUWAIT,499,2,9,23,0,0,0,0,0,0,0,0,0,137,0,0,6,19
OVERSEAS,KYRGYZSTAN,3,0,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OVERSEAS,LAOS,4,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OVERSEAS,LATVIA,7,1,7,2,0,0,0,1,0,0,1,0,0,1,0,0,0,0
OVERSEAS,LEBANON,5,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OVERSEAS,LIBERIA,3,0,8,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0
OVERSEAS,LITHUANIA,5,1,8,5,0,0,0,0,0,0,0,0,0,1,1,0,2,1
OVERSEAS,LUXEMBOURG,0,0,8,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
OVERSEAS,MACEDONIA,4,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OVERSEAS,MADAGASCAR,0,3,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
OVERSEAS,MALAWI,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OVERSEAS,MALAYSIA,3,5,9,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
OVERSEAS,MALI,2,0,12,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
OVERSEAS,MALTA,0,3,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
OVERSEAS,MARSHALL ISLANDS,14,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0
OVERSEAS,MAURITANIA,1,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OVERSEAS,MAURITIUS,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OVERSEAS,MEXICO,15,4,59,4,0,3,0,1,0,0,0,0,0,0,1,0,11,1
OVERSEAS,"MICRONESIA, FEDERATED STATES OF",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OVERSEAS,MOLDOVA,3,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OVERSEAS,MONGOLIA,5,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OVERSEAS,MONTENEGRO,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OVERSEAS,MOROCCO,8,4,14,7,0,1,0,0,0,0,0,0,0,3,1,0,1,1
OVERSEAS,MOZAMBIQUE,4,1,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OVERSEAS,NAMIBIA,1,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OVERSEAS,NEPAL,4,0,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
